type,status,id,title,slug,date,modified,content_length,link
attachment,inherit,518,08A4BDC3-25FD-4762-B6B0-211A3CB60FAB_1_105_c,08a4bdc3-25fd-4762-b6b0-211a3cb60fab_1_105_c,2024-04-01 20:28:45,2024-04-01 20:28:45,0,https://jsmcooperative.wpcomstaging.com/team/08a4bdc3-25fd-4762-b6b0-211a3cb60fab_1_105_c/
attachment,inherit,515,1cf09b52-9234-4519-8c9c-a9a95e59f8c5,1cf09b52-9234-4519-8c9c-a9a95e59f8c5,2024-04-01 20:26:53,2024-04-01 20:26:53,0,https://jsmcooperative.wpcomstaging.com/team/1cf09b52-9234-4519-8c9c-a9a95e59f8c5/
attachment,inherit,132,3DTRANSPARENT,3dtransparent,2023-12-26 02:59:51,2023-12-26 02:59:51,0,https://jsmcooperative.wpcomstaging.com/2023/12/26/el-hombre-con-la-gorra/3dtransparent/
attachment,inherit,347,3DTRANSPARENT,3dtransparent-2,2024-03-25 20:00:23,2024-03-25 20:00:23,0,https://jsmcooperative.wpcomstaging.com/?attachment_id=347
attachment,inherit,723,A Coruña: Where History Meets Modernity,dall%c2%b7e-2024-05-01-12-18-49-a-picturesque-scene-of-a-coruna-spain-featuring-a-blend-of-historic-architecture-and-modern-elements-the-cityscape-includes-iconic-landmarks-like-t,2024-05-01 12:19:26,2024-05-01 12:20:48,397,https://jsmcooperative.wpcomstaging.com/2024/05/01/the-man-in-the-ballcap-goes-spanish-a-new-chapter-in-our-journey/dall%c2%b7e-2024-05-01-12-18-49-a-picturesque-scene-of-a-coruna-spain-featuring-a-blend-of-historic-architecture-and-modern-elements-the-cityscape-includes-iconic-landmarks-like-t/
attachment,inherit,520,AE8D0C81-2D41-4A38-809D-7ECB6A98D659_1_105_c,ae8d0c81-2d41-4a38-809d-7ecb6a98d659_1_105_c,2024-04-01 20:29:21,2024-04-01 20:29:21,0,https://jsmcooperative.wpcomstaging.com/team/ae8d0c81-2d41-4a38-809d-7ecb6a98d659_1_105_c/
attachment,inherit,105,AMAZONLOGO,amazonlogo,2023-12-08 22:47:28,2023-12-08 22:47:28,0,https://jsmcooperative.wpcomstaging.com/amazonlogo/
attachment,inherit,18,BACKCOVER,backcover,2023-12-05 19:06:40,2023-12-05 19:06:40,0,https://jsmcooperative.wpcomstaging.com/backcover/
attachment,inherit,46,BACKCOVER2,backcover2,2023-12-05 20:39:13,2023-12-05 20:39:13,0,https://jsmcooperative.wpcomstaging.com/backcover2/
attachment,inherit,303,BLOG,dall%c2%b7e-2024-03-19-10-28-34-create-a-featured-image-for-a-blog-post-in-a-pop-art-style-featuring-the-word-blog-prominently-in-the-center-with-vibrant-eye-catching-colors-in,2024-03-19 10:28:47,2024-04-01 21:52:57,0,https://jsmcooperative.wpcomstaging.com/dall%c2%b7e-2024-03-19-10-28-34-create-a-featured-image-for-a-blog-post-in-a-pop-art-style-featuring-the-word-blog-prominently-in-the-center-with-vibrant-eye-catching-colors-in/
